"Name","Phone","Address"

"Regenta Central by Royal Or...","+ 91  183 5222222",""
"OYO Rooms","+ 91  9953350145",""
"Hotel Mahajan International","+ 91  9646010056",""
"M S Craft Works","+ 91  183 5089426",""
"Likhari Palace","+ 91  183 2273289",""
"Gursewak Singh","+ 91  9914315602",""
"Joginder Singh Auto Goods Service","+ 91  8283010185",""
"Palika lodge","+ 91  183 2211523",""
"Kala Chote Hathi Wala","+ 91  9878251486",""
"Tejbir loading & tour services","+ 91  9815354883",""
"Krishna Lodge","+ 91  183 2533978",""
"Samar Mini Transport Co.","+ 91  7508049687",""
"Kuldeep Singh Auto Loading","+ 91  9781100637",""
