"Name","Phone","Address"

"Anand Car Bazar","+ 91  183 2566254","52/2, Court Rd.,,"
"Anand Motors","+ 91  183 2278515","Hukam Singh Rd., (2) Partap Bazar,,"
"Anand Collection","+ 91  183 2255904","Partap Bazar Chheharta, Amritsar - 143001"
"Anand Kissan Store","+ 91  183 2292253",""
"Anand Engineers","+ 91  183 2587310","172, Mehta Rd, Amritsar - 143001, Focal Point"
"new anand karyana store","+ 91  183 5097246","near kaka ram sweets, mohan nagar, Sultanwind, Amritsar - 143006, shop 12"
"Anand School Of Nursing","+ 91  183 2774290",""
"Anand Academy","+ 91  9023985828","House No 28, Tilak Nagar, Amritsar - 143001, Professor Colony Near Goverment School,Near Sivala Mandir"
"Amrik Agriculture Store","+ 91  9888461165","Inside Sultanwind Gate, Amritsar - 143002"
"New Sant Agriculture Implements","+ 91  9815064549",""
"Anand General Store","+ 91  9464266851","Shop no. 2, Basant nagar, Amritsar - 143001, Majitha road"
"Chogwan Multipurpose Cooperati...","+ 91  9815959762","35, Main Road, Amritsar - 143002, Mehta, Near Guru Baba Bagala Gurudwara"
"Anand Textiles","+ 91  183 2227703",""
"Raymond Shree Anand Fashion...","+ 91  183 2401717",""
"Anand Wedding Planner & Caterers","+ 91  9988773642","Green Field, Majitha And 27 Feet Road, Amritsar - 143001"
"Om Parkash & Anand Halwai","+ 91  9417019456","House Number 26016/11, Gali Phat Wali, Sultant Wind Gate, Amritsar - 143006, Near Thana B Division"
"Anand Trunk House","+ 91  9814239791",""
"HOTEL ANAND","+ 91  183 2551114",""
"Anand Hospital & Heart Care Ce...","+ 91  183 2526226","Inner Circular Road, Amritsar - 143001, Near Raj Cinema Chatiwind Gate"
"Harish Anand Company","+ 91  9417257897","Amritsar - 143002"
"Anand Textiles","+ 91  183 2572057",""
"M S Anand Lahore Band","+ 91  183 2553120",""
"anand Bakery","+ 91  9988174219","Main bazar, Main chownk, Amritsar - 143001, kot Mit Singh, Tt Road"
"Jaycee Agriculture Corpo.","+ 91  9876025119","Railway Road, Amritsar - 143002"
"Anand Enterprises","",""
"Vijay anand motor engineering ...","+ 91  9878745045",""
"Anand Bros.","","Katra Sher Singh, Gandhi Bazar, Amritsar - 143006"
"J.s agriculture repairing works","+ 91  9646513129","Chheharta road, Chheharta, Amritsar - 143105, Opp the Royal gym"
"Anand Ram Kewal Kishan","+ 91  183 2221529",""
"Anand Medicos","+ 91  9915525504",""
"M J Mechanical & Agriculture C...","+ 91  183 2491169","32, Amritsar - 143001, Baba Deep Singh Market"
"Chhina Agriculture Store","+ 91  9780440100","Raja Sansi, Amritsar - 143101"
"Anand Kheti Store","+ 91  9781311666",""
"ANAND Telecom","+ 91  9815244466",""
"Shri Anand Financial Services","+ 91  183 6571105","Amritsar - 143001, Ranjit Avenue"
"Meditation Anand","+ 91  9803060160","433, Manawala, Amritsar - 143109, SF Dream City, Near Best Price"
"Anand Auto Dealer","+ 91  183 2292433",""
"Mahajan Anand And Associates","+ 91  183 2533775",""
"Anand Plastics","+ 91  183 6537002","44, Amritsar - 143001, Focal Point"
"Kissan Agriculture Store","+ 91  9815128739","Majitha, Amritsar - 143601"
"anand trader","+ 91  9855652216",""
"Anand Electronics","+ 91  183 2450979",""
"amrik agriculture store","+ 91  9811368022","Amritsar - 143001"
"Tata And Sarmansan Agriculture...","+ 91  9888012138","Jandiala Guru, Amritsar - 143115"
"Anand Taliors","+ 91  8568903315",""
"M. H. Rice & Agriculture Ind.","+ 91  9814132146","D-179, Mehta Road, Amritsar - 143001, New Focal Point"
"Guru Ram DAS Agriculture Servi...","+ 91  9217910468","Jandiala Guru, Amritsar - 143115"
"Vijay Anand","+ 91  9781000058",""
"Anand Communication","+ 91  9876570773",""
"Anand Pharmaceuticals","+ 91  183 2546420","Katra Sher Singh, Amritsar - 143006, Opposite Khera College, Anand Market"
"Batth Organic Agriculture & Ho...","+ 91  9463730244","Vill. Mehlanwala, Near Kukran Wala, Ajnala, Amritsar - 143102"
"Anand Dental Clinic","+ 91  9915180124",""
"Kissan Agriculture","+ 91  9815128733","Amritsar - 143001"
"Anand Filling Station","+ 91  183 2258123",""
"New Anand Kheti Store","+ 91  9855172679","Chogawan, Amritsar - 143109"
"Anand Academy","+ 91  9876501653",""
"Anand ENT","+ 91  183 5063689",""
"Anand Electronic","+ 91  9815751627","Chheharta Railway Station, Amritsar - 143105"
"Vikas Anand","+ 91  9988830368","H.no.194,, Gali No 6,Peeran Wali, Ajnala, Amritsar - 143102"
"anand Marble & Builders","+ 91  9419125340",""
"Anand Clinic","+ 91  183 2580752",""
"Anand Auto","+ 91  9815359970","Gt Road, Chheharta, Amritsar - 143105, Chowk Khandwala"
"S S Agriculture Store","+ 91  9478357733","Rayya, Amritsar - 143112"
"Anand Iron Store","+ 91  183 2549325",""
"Anand Electrical","+ 91  9855346667",""
"Anand Enterprises","+ 91  9356110043","Verka, Amritsar - 143501"
"M S Anand Lahore Band","+ 91  183 2553129","Bansawala Bazar,"
"Anand Rakesh","+ 91  9501810066",""
"Anand Gun House","+ 91  183 2550617",""
"Anand Khati Store","+ 91  9855172671","Chogawan, Amritsar - 143109"
"Dinesh Anand","+ 91  9815695500","5-A, Tailor Road, AMRITSAR - 143001"
"ANAND AUTO REPAIR CENTRE","+ 91  9888902361",""
"Anand Kumar","+ 91  9216251661",""
"Anand Karyana Store","+ 91  8054389055","1, Anand Karyana Store, Ajnala, Amritsar - 143102, Navakot"
"Rajat Anand","+ 91  9988070604","544, Anand Market, AMRITSAR - 143001"
"Anand Trader","+ 91  9814068009",""
"Anand Cement STORE","+ 91  8872778896",""
"Anand Medical Agencies","+ 91  183 2551599","Grd Mkt,,"
"Satish Kumar Anand","+ 91  9815269718","1474,Khoo Bombay Wala, AMRITSAR - 143001, Kamboj Hall"
"Anand Scooter Works","+ 91  183 2563977",""
"Anand Automobiles","+ 91  9888240504",""
"Anand Motors","+ 91  183 2278515","Majitha Road,"
"Harish Anand & Company","+ 91  183 2223644","Mohindra Colony, Amritsar - 143002"
"Anand Fashion Hut","+ 91  9316287244",""
"Anand Watch & Opticals","+ 91  8427039659",""
"Anand College Of Paramedical S...","+ 91  183 2774250","Kathu Nangal Rd.,"
"P anand trading","+ 91  9217910560","shop no. 49-A, New IDH market, Amritsar Bus Stand, Amritsar - 143001, near New bus stand"
"Anand Textiles","+ 91  183 2271541",""
"Anand Medical Store","+ 91  9417924146","Sultanwind Road, Amritsar - 143002, Opposite Sharma Corner"
"Anand Brother","+ 91  183 2544868","Amritsar - 143002, Near Kashmiri Shivalya, Farid Chowk"
"Vijay Anand motors","+ 91  9914222220","Ranjit Avenue, Amritsar - 143001, Near Ajnal Road"
"Anand Rathi Share & Stock Brok...","+ 91  183 5070222",""
"anand watch co.","+ 91  9779860345",""
"Anand Kheti Store","+ 91  9914048344","12, Near Shastri Market, Amritsar - 143002, Main Road"
"Satinder Agriculture Repair Ce...","+ 91  9876369505","Sultanwind, Daburji Road, Amritsar, Sultanwind, Amritsar - 143021, Near- Bhai Dharam Singh Khalsa Trust"
"Anand Photostat","+ 91  183 2532291",""
"ANAND LASS POINT","+ 91  9417311283",""
"Anand Electrical Co","+ 91  9815536124","Shop No 2785/15, Amritsar - 143002, Near Kaka Ram Sweets,Sultanwind Road,Mohan Nagar"
"M/S Anand Travels","+ 91  9256907680","Amritsar Cantt, Amritsar - 143001"
"Anand Jewellers","+ 91  9876048817",""
"Anand Garments & Paggrhi Centre","+ 91  9357923040",""
"Anand Kirana And Bakery","+ 91  9464436909","Amritsar - 143002, Near Golden Temple,Bazar Bagh Jallianwala Bagh,Main Chowk"
"Sumesh Anand","+ 91  9417137984","Chamber No-139-C, District Court, AMRITSAR - 143001"
"Anand Harware Store","+ 91  183 2481146",""
"Anand General Store","+ 91  183 5223192",""
"Anand Musical Group","+ 91  9780304643","H No-5036/18, Gali No-12, Amritsar - 143002, Daim Ganj, Near Bhatia Gurudwara"
"Pramod Anand","+ 91  9417361933","Chamber No-111-A, District Court, AMRITSAR - 143001"
"Anand Agriculture Implements","+ 91  183 2230727",""
"Anand Mobile Store","+ 91  9041202202",""
"ANAND MEDICAL HALL","+ 91  183 2582645","Sultanwind road, Amritsar - 143002, Near ajit nagar chowk"
"shri Anand Motors","+ 91  9915204789","Main bazar, amritsar Road, Amritsar - 143001, Gol Bagh Garden"
"Anand Air Condition & Refri...","+ 91  9914077139",""
"Anand Hardware","+ 91  9914699737",""
"ANAND HARDWARE STORE","+ 91  8164961328","MAIN ROAD, BATALA ROAD, Amritsar - 143001, OPPOSITE GALI NO 4. VIJAY NAGAR"
"National Bank For Agriculture ...","+ 91  183 2656068","11, Bhandari Estate, Rani Ka Bagh, AMRITSAR - 143001, Near District Library"
"Anand Hospital & Heart Care Ce...","+ 91  183 2522226",""
"Anand Collection","+ 91  9988972810",""
"Anand Cold Drinks","+ 91  9915255982","Main G T Road, Chheharta, Amritsar - 143105, Opposite Sbp Bank, Main Bazaar"
"VIJAY ANAND MOTOR ENGG. WORKS","+ 91  9781000059","GOAL BAGH ROAD, Amritsar - 143001, GOAL BAGH ROAD"
"Anand College Of Education For...","+ 91  183 2744301",""
"Anand Ornaments","+ 91  9815285757","23 ,Kotkarnail Singh, Sultan Wind Road, Sultanwind, Amritsar - 143021, Near Taliwala Chowk"
"SHRI ANAND TRAVELS","+ 91  9814713700","Amritsar, Punjab, Hathi Gate Road, Amritsar - 143001"
"Anand College Of Nursing & Cha...","+ 91  183 2228623","Jethuwal Batala Road, Amritsar - 143002"
"Mahajan Agriculture Store","+ 91  183 2557832","Shop Number- 32-A, Amritsar - 143001, I/S Ram Bagh Bazar"
"Anand Auto","+ 91  183 2254680","Amritsar - 143001, Chowk Khandwala"
"Pinkesh K Anand & Co","+ 91  183 2546528","544, Amritsar - 143006, Anand Mkt,Katra Safed"
"Anand Rathi","+ 91  183 3071130","Sco: 44, 4th Floor, Nagpal Tower 2, District Shopping Complex,, Ranjit Avenue, Amritsar - 143001, Above Ranbaxy Lab"
"Anand Auto Dealer","+ 91  8054306815","Main Road, Amritsar Cantt, Amritsar - 143001, Opposite Power House,Opposite Hathi Gate"
