"Name","Phone","Address"

"BABA DEEP SINGH MOBILE CENTRE ...","+ 91  9888617703","Shop no 9,gndu shopping complex, GT road, Guru Nanak Dev University, Amritsar - 143005, Near hdfc bank"
"Dr Manjit Singh","+ 91  183 2482990","20, Batala Road, Amritsar - 143001, Near Anand Textile ,Jawahar Nagar"
"Atma Singh Saroop Singh","+ 91  183 2543294","Golden Temple, Amritsar - 143006, New Mishri Bazar"
"Bhagwan Singh Surinder Singh","+ 91  9815409615","Amritsar - 143006, Near Golden Temple & Partap Bazar"
"Dr H P Singh","+ 91  183 2266666","C/O Fortis Escorts Hospital, Majitha Verka Bypass Road, Majitha, Amritsar - 143601"
"M/S Gurdeep Singh & Sons","+ 91  9815835000","Shop N 35-A/99-A, Mehta Road, Mehta Chowk, Amritsar - 143114, Vallha Sabzi Mandi"
"Baba Deep Singh Ji Tour & Travels","+ 91  9592166774","Adda Bhikhiwind, Patti Road, Bhikhiwind, Amritsar - 143303, Taxi Stand"
"Tajinder Singh Prop Hotel Lawr...","+ 91  183 2400108","6 , , ,Asr ,Lawerance Road ,Asr, ,Asr-143001,"
"Sham Singh Darshan Singh Rumal...","+ 91  183 2547393","42, Clock Tow0er Mkt., Opp,. Golden, Temple,"
"Baba Kuma Singh JI Engineering...","+ 91  183 2384311","742"
"Dr Amitoj Singh","+ 91  9988864555","G.T Road, Amritsar - 143001, Near Amar Jyoti School, Opposite Nissan Motor Service"
"balbir singh and company","","shop no. 3, Court Road, Amritsar - 143001, deep complex"
"Singh Enterprises","+ 91  183 5106065","Amritsar, Punjab, Court Road, Amritsar - 143001"
"Baba Deep Singh Electronic","+ 91  7307614188","53, Landa Bazaar, Railway Link Road, Amritsar - 143001, Near Railway Station"
"Baba deep singh telecom","+ 91  9855941941","Shop no 51, Guru nanak market, Amritsar - 143001, Railway link road"
"Baba Deep Singh Mobile Corner","+ 91  9646645856","Shop No. 2b, Liberty Market, Amritsar - 143001, Railway Link Road,near railway station amritsar"
"Baba Deep Singh Ji Mobile Corner","+ 91  7696660655","SHOP NO-1-A/10, Railway link road, Amritsar - 143001, Opp.prakash plza market"
"Baba Deep Singh Telelink","+ 91  183 5965174","Shop No-45 B, Railway Link Road, Amritsar Bus Stand, Amritsar - 143001, Liberty Market"
"Dr. Mann Surinder Singh","+ 91  9815091531","No. 2, Chander Puri, Taylor Road, Amritsar - 143001"
"Sardar Sadu singh di hatti","+ 91  9914108691","SHOP NO19, RAILWAY ROAD, Amritsar - 143001, NEAR VOLGA HOTEL"
"Santokh singh bharj & co.","+ 91  9855644957","56, Court Road, Amritsar - 143001, Opp m.zone"
"Jatinder Singh & Sons","+ 91  183 2401496","Shop No-77, Queens Road, Amritsar - 143001, Near Suncity Tower Hotel"
"Jairam Singh Jagdish Singh","+ 91  183 2544969","Bazar GandaWala, Amritsar - 143006, Majith Mandi"
"Dr Harmohinder Singh Nagpal (H...","+ 91  183 2503613","C/o Hartej Maternity & Nursing Home,A-290-292, Ranjit Avenue, Amritsar Kutchery, Amritsar - 143001"
"Kanwar Rajinder Singh","+ 91  183 2556636","Chamber Number 70b 71 b, Court office, Amritsar Kutchery, Amritsar - 143001, kasba moti ram, indside hattii gate"
"HARDYAL SINGH AND SONS","+ 91  9592319522","Court Road, Amritsar - 143001, near shimla printing press"
"Boi Pharma","","Schea No. 2, Katra Sher Singh, Amritsar - 143104"
"Davinder Singh","+ 91  9417127674","2662, Ram Nagar, Sultanwind Road, AMRITSAR - 143001, Amritsar"
"BABA DEEP SINGH CAR A.C REPAIR","+ 91  9888685640","SHOP NO 14, GOL BAGH, Amritsar - 143001, GOAL BAGH"
"hardiyal singh & sons","+ 91  9463185936","coyrt road, Amritsar - 143001, near railway station"
"Amardeep Singh","+ 91  183 5031785","361, M.C International,The Mall, Amritsar - 143001"
"Gurpreet Singh Bhullar Taxi Stand","+ 91  9814002488","Algon Kothi, Amritsar - 143001"
"Onkar Singh & Co","+ 91  183 2554801","Amritsar - 143001, Bijli Chowk"
"Gurmeet Singh Polatri Farm","+ 91  9781511700","Amritsar - 143001, Near Nawan Pind, Pind Wadala Johal"
"Singh Traders","+ 91  9914243123","Amritsar - 143001, Hall Bazar, Katra Baghian"
"Dr Narinder Singh","+ 91  183 2258258","No.372/23, Kartar Nagar, Amritsar - 143001"
"Jagjit Singh Surveyor & Loss ...","+ 91  9814098991","3247, Kotralliaram, Sultanwind Gate, Amritsar, Amritsar - 143001"
"Dr Surrender Singh Bawa","+ 91  183 2584018","524 Azad Ngar, Amritsar - 143001, Near Ram Seetha Mandir"
"Rachhpal Singh","+ 91  183 2431472","Main Road, Amritsar - 143001, Near Sheikh Fattah Gate,"
"Rajvinder Singh","+ 91  183 2229306","No.2,, Lawrence Road,, Amritsar - 143001"
"Dr Kanwarjeet Singh","+ 91  9417250808","Goverment Medical Collage, Amritsar - 143001"
"Prabhat Pharma","+ 91  183 5004067","Shop Number-1, Building Number- 68, Katra Sher Singh, AMRITSAR - 143006, Medicine Market, Near Subhash Park"
"Singh Gun House","+ 91  9988283326","55,56 Guru Kirpa Complex Chaw, AMRITSAR - 143001, Amritsar"
"Baba Deep Singh Lace Agency","","544 D, Rose Street, Majitha Road, Amritsar - 143001, Opposite Medical College"
"Allahabad Bank ATM Katra Ahluw...","1800220363","Katra Ahluwalia Post Box No 23, Amritsar - 143001, P O District Amritsar"
"BAHI BUTA SINGH PARTAP SINGH","+ 91  183 2550316","main bazar, Golden Temple, Amritsar - 143006, Clock Tower"
"Amarjit Singh","+ 91  183 2401258","11, Bhandari Est. Rani Ka Bagh, Amritsar, Rani Ka Bagh Amritsar, Amritsar - 143001"
"Harjit Singh Tour & Travels","+ 91  8559023144","Golden Temple, Amritsar - 143006, Taxi Stand, Near Golden Temple"
"Dr Gurpreet Singh","+ 91  183 2503775","B-9, Main Road, Ranjit Avenue, Amritsar - 143001"
"Baba Surjan Singh & Sons","+ 91  9914456430","1358/5, Amritsar - 143001, Chowk Baba Sahib, Near Golden Temple"
"Dr Karam Singh Memorial Orthop...","+ 91  183 2573927","16, Circular Rd, Amritsar - 143001, Doctors Avenue"
"Ujagar Singh Gurdial Singh","+ 91  8284943839","Inside Bhagta Wala Gate, Katra Karam Singh, Amritsar - 143006, Opp Naval Public School,Timber Market"
"Dr.Preeti Singh DEV","+ 91  183 2273646","DEV Hospital, Khanna Nagar, Amritsar - 143001, Opp Rishab Autos,Batala House"
"Nihal Singh & Co.","+ 91  9815943060","Sultanwnd Road, Sultanwind, Amritsar - 143021, Kapoor Nagar,,drum vali gali"
"Trai Shatabdi Guru Gobind Sing...","+ 91  183 2544910","Amritsar - 143001"
"PARDUMAN SINGH AND SONS","+ 91  8146888374","GALI NO-6, vijay nagar . Batala road, Amritsar - 143001, Nr. Auto piston"
"Singh Street Style New Clothes","+ 91  9815302930","Amritsar Cantt, Amritsar - 143001"
"Baba Isher Singh Nanaksar Publ...","+ 91  183 2501706","Ranjit Avenue, Amritsar Bus Stand, Amritsar - 143001, D Block, Near Gumtala Bye Pass"
"Daljeet Singh Fateh Jewellers","+ 91  9915605118","House Number 4985-4986, Sultanwind Road Bhagatsingh Pura, Sultanwind, Amritsar - 143006, Near SAI Baba Mandir Or Tea Circle Softy Chownk"
"Amar Pal Singh","+ 91  183 2224122","Chember No.8-A District Court, AMRITSAR - 143001"
"Sardar Mehar Singh Hospital","+ 91  183 2491516","Sultan Wind Road, Amritsar - 143001, Purani Chungi,"
"Baba Deep Singh Mini Transport","+ 91  183 2588900","Shop Number 12, Amritsar - 143002, Bhai Kanhayia Market, Dali Bazar"
"Avtar Singh Bindra & Co.","+ 91  183 5054860","Cooper Road, Amritsar - 143001"
"S . G thakur singh art gallery","+ 91  9988490038","Art gallery, Madan mohan Malviya road, Amritsar - 143001"
"Maharaja Ranjit Singh Public S...","","Circular Road, Amritsar - 143001, Tarantaran"
"Maharaja Ranjit Singh Museum","","Lawrence Road, Amritsar - 143001, Maharaja Ranjit Singh Nagar, Company Bagh"
"Gurinder Singh & Co","+ 91  183 2224445","Lawrence Road, Amritsar - 143001, Bijli Pehalwan Temple Market"
"Lebon Pharma","+ 91  183 3951860","Katra Sher Singh, Amritsar - 143006"
"Dr Shakeen Singh Eye & Dental ...","+ 91  183 2500026","391, Court Road, Amritsar - 143001, Green Avenue"
"Deva Singh Sham Singh Rice Mills","+ 91  183 2482230","outside chatiwind gate, Tarantaran Road, Amritsar - 143001, Near Baba Deep Singh Ji Gurudwara, Outside Chatiwind Gate"
"Gurdial Singh Gian Singh","+ 91  183 2541632","shop no 585, Hall Bazar, Amritsar - 143001, Goal Hatti Chowk"
"Sohan Singh & Sons","+ 91  183 2547214","Katra Jaimal Singh, Amritsar - 143006, Bazar Pashamwala"
"Khem Singh Sadana & Company","+ 91  183 2540475","Shop Number- 53, main chowk,katrajaimal singh, Katra Jaimal Singh, Amritsar - 143006, oppsite State bank of patiala"
"Singh Enterprises","+ 91  9814156292","Tehsil Compound, Main Gate,Ajanta Road, Amritsar - 143001, District Court"
"Singh Pagree House","+ 91  9417275769","Shop no 52, Katra jaimal singh, Amritsar - 143001"
"Hotel Singh International","+ 91  183 2540085","181, City Center, Amritsar Bus Stand, Amritsar - 143001, Bus Stand"
"Amardeep Singh","+ 91  9988070106","Chamber No. 85 -C, District Courts, Amritsar Kutchery, Amritsar - 143001"
"Bhagwati Pharma","+ 91  183 2306873","Katra Sher Singh, Amritsar - 143006"
"Santokh Singh & Sons","+ 91  183 2588317","202, Mehta Rd, Amritsar - 143001, Focal Point"
"Shaheed Darshan Singh Pheruman...","+ 91  183 222115","G T Rd, Amritsar - 143001, Rayya"
"Wazir Singh Eneterprises","+ 91  183 2508800","No. 68 Maqbool Road, Amritsar - 143001"
"NEO Herbs Pharma","+ 91  183 2744014","Vpo Jethuwal, Amritsar - 143001"
"BABA DEEP SINGH JI WORKSHOP","+ 91  8054799705","Amritsar - 143001, OPP. GOL BAGH"
"Dr Rajinder Singh (Rupinders H...","+ 91  183 2559376","C/o Rupinders Hospital,55, Amritsar - 143001"
"Singh Property Advisor","+ 91  9465584384","G T Road, New Amritsar, Amritsar - 143001"
"Nirmal Singh","+ 91  9914828791","Add Amarkot, Valtoha Road, Amritsar - 143001"
"kulbeer singh construction","+ 91  9814291313","passport office ranjeet aveniew plot no 9, Amritsar - 143001, nr oriental bank of commerce"
"Kulwant Singh & Co","+ 91  9878891228","Amritsar - 143001"
"Jasbir Singh & Sons","+ 91  183 2547859","Cheel Mandi, I/S Mahan Singh Gate, Amritsar - 143001"
"Sher Punjab X-Ray Clinic","+ 91  183 2212129","Putlighar Road, Amritsar, Amritsar - 143001"
"Dr Ravinder Pal Singh (Asia Di...","+ 91  183 2403403","C/o Asia Diagnostics,# 6, Albert Road, Amritsar - 143001"
"Parmeet Singh Sodhi Surveyor ...","+ 91  9814054595","Surveyor Office, Railway Road, Amritsar, Punjab, Amritsar - 143001"
"Karamdeep singh","+ 91  7508174031","Amritsar - 143001"
"Dr Navpreet Singh (Navpreet Ho...","+ 91  183 2223836","C/o Navpreet Hospital,159-D, Amritsar - 143001"
"Suba Singh Sarhand","+ 91  9530956576","Baba Deep singh Taxi Stand, Amritsar - 143001, Near Bhugtude, Pind Saipur"
"Santnam Singh Kawandiya","+ 91  9592440326","Khemkarn Road, Amarkot, Amritsar - 143001"
"Dr Jagroop Singh (Heir Clinic)","+ 91  9855325519","C/o Heir Clinic, Amritsar - 143001"
"Bawa Singh Pritpal Singh","+ 91  183 2291550","2506, Amritsar - 143001, Near Bus Stand, Cheel Mandi"
"Prem Singh & Co","+ 91  9888646015","Lawrance Road, Amritsar - 143001, Uppal Market"
"Dr Surinderbir Singh (Uttam Ho...","+ 91  183 2589161","C/o Uttam Hospital, Street No- 13, Mehta Road, Amritsar - 143001"
