"Name","Phone","Address"

"Glenands Pet Stores","+ 91  80 33050293",""
"Tornado Pets","+ 91  80 33057074",""
"Laika Kennels","+ 91  80 33643293",""
"Cessna Lifeline And Pet Ser...","+ 91  80 25350070",""
"Pet Wonders","+ 91  80 33700749",""
"Delta Aquarium","+ 91  80 33091414",""
"Heavy Petting","+ 91  80 33674967",""
"Dee Jay Kennels","+ 91  80 33762857",""
"Indira Pet Clinic","+ 91  80 39628167",""
"Pet zone","+ 91  80 33100537",""
"Asha Pet Clinic","+ 91  80 41633800",""
"Animal Pet Shop","+ 91  80 33083993",""
"Dream Land Aquarim And Pets","+ 91  80 33642362",""
"Sofi Pet Zone","+ 91  80 23568949",""
"Pet Smile","+ 91  80 33080450",""
"Pet Choice","+ 91  80 33082736",""
"Red Bulls Pet Point","+ 91  80 39257846",""
"Kellys Pet Shoppee","+ 91  80 39559271",""
"Om Sri Sai Aquarium","+ 91  80 33640104",""
"Brigade Pet Care","+ 91  8553156392",""
"Pet Needs And Kennels","+ 91  80 41707105",""
"Groomer Boutique Parlour Fo...","+ 91  80 33083930",""
"Star Aquarium","+ 91  80 33292620",""
"Kishore Dog Boarding Kennels","+ 91  80 33531777",""
"St Antonys Pet Clinic And P...","+ 91  80 33569427",""
"Pampered Tails","+ 91  80 33641590",""
"Royal Puppies","+ 91  80 33057029",""
"Bannerghatta Pet Clinic","+ 91  80 33531317",""
"Aishwarya Kennels","+ 91  80 33083079",""
"Lak Kennal","+ 91  80 33080649",""
"Glenands Pet Store","+ 91  80 33082790",""
"T R Pets Valley","+ 91  80 33080288",""
"Pets Mart","+ 91  80 23384312",""
"Pet Planet","+ 91  80 33722246",""
"International Aquarium","+ 91  80 33059259",""
"Wet Pets","+ 91  80 41517946",""
"KPS PET AND AQUARIUM","+ 91  80 33058459",""
"Snoopys Pet Store","+ 91  80 33762403",""
"Pillus Pet Paradise","+ 91  80 33518796",""
"Shivas Pet Nation","+ 91  80 33530376",""
"Nikz Kennels","+ 91  80 33724830",""
"Fins Fur Feather","+ 91  80 33292540",""
"Om Shree Sai Pet Shop","+ 91  80 33644007",""
"Tejaswi Aquarium And Birds","+ 91  80 33643842",""
"Sireeshs The Ultimate Pet S...","+ 91  80 33080702",""
"Sandoz Pet Shop","+ 91  80 33761986",""
"Jeeva Veterinary Hospital 24/7","+ 91  80 33058321",""
"Paws Nation","+ 91  80 33568618",""
"Banashree Vet Care","+ 91  80 33722529",""
"Royal Pet Care","+ 91  80 33644004",""
"Canaan Pet Junction","+ 91  80 33080874",""
"Pets4U","+ 91  80 33532654",""
"Herriots Polyclinic And Pet...","+ 91  80 25724449",""
"Sanland Kennels And Sanland...","+ 91  80 33643049",""
"Fins Fur And Feathers","+ 91  80 33294540",""
"MMM Pet Shops","+ 91  80 33056480",""
"Pioneer Pet Clinic And Pet ...","+ 91  80 33538488",""
"Paws The Pet Store","+ 91  80 41317297",""
"Bangalore Pet Hospital","+ 91  80 41132727",""
"Maruthi Pet Care Centre","+ 91  80 65737314",""
"Pet Bonding","+ 91  80 23597645",""
"VARSHA AQUAMAX","+ 91  80 42229996",""
"V Care Pet Polyclinic","+ 91  9886025572",""
"Mysore Kennel Club","+ 91  80 25532766",""
"Indian Veterinary Research Ins...","+ 91  80 23417895",""
"PAWS the pet store","+ 91  80 41277297",""
"jeeva pet shop","+ 91  9880955441",""
"Pets Villa","+ 91  80 25720446",""
"Pets Inn","+ 91  9448933514",""
"Wagging Tail Pet Care Pvt Ltd","+ 91  80 32552615",""
"Manjunatha Enterprises","+ 91  80 22422187",""
"Zoo Land International","+ 91  80 25541484",""
"Joes Veterinary Clinic","+ 91  80 23331017",""
"Manu Pet Care Center","+ 91  9845647177",""
"Vet Needs","+ 91  9886085985",""
"Pet choice","+ 91  80 40932525",""
"Alpha Kennels","+ 91  80 41736046",""
"Sanjeevini Veterinary Clinic &...","+ 91  9242784110",""
"PET ZONE","+ 91  80 23464916",""
"Pet Shoppe","+ 91  80 40915668",""
"Glenands Pet Store","+ 91  9620208758",""
"Happy Boarding And Kennels","+ 91  9535152125",""
"Universal Pet Store","+ 91  9845459134",""
"Pet Spot","+ 91  80 33059354",""
"Kennel India","+ 91  9845079234",""
"Park Side Pet Clinic","+ 91  9845383037",""
"General Veterinary Clinic","",""
"Gopal Pet Mart","+ 91  9845840381",""
"PETS VILLA","+ 91  9900501203",""
"Paws And Claws","+ 91  80 41288528",""
"Adithya Pet Shop","+ 91  80 26711164",""
"Jeeva Pet Shop And Pet Clinic","+ 91  9845342387",""
"Vetcare India","+ 91  80 28561245",""
"Glenands Pet Shops","+ 91  80 41261470",""
"The Aquarium Store","+ 91  8040937957",""
"Pets Villa Sadha Enterprises","+ 91  80 23461218",""
"Royal kennels","+ 91  8050450599",""
"Mudhol Hond Dog Breeding Center","+ 91  9845580411",""
"Gary Pet Foods & Aquarium","+ 91  80 28493844",""
"Srinidhi Kennels","+ 91  8970979999",""
"Agrani Kennels","+ 91  80 22451008",""
"The Bangalore Canine Club","+ 91  80 23639823",""
"Galaxy Pet Needs","+ 91  8792551812",""
"Glendand Products","+ 91  80 25573742",""
"Glenands Pet Store","+ 91  9845001449",""
"Dee Jay Pet Planet","+ 91  8892615168",""
"Max Pet Shop","+ 91  9972189115",""
"Bangalore Pets Villa","+ 91  7406069647",""
"Manish Marketing","+ 91  80 22914308",""
"RSM ENTERPRISES","+ 91  80 25471033",""
"Shevar Spa & Grooming Saloon F...","+ 91  9845435066",""
"Birdie Bird","+ 91  9901766301",""
"Companions The Pet Store","+ 91  9740813111",""
"A To Z Aquatic Pet Shop","+ 91  9036722570",""
"CLASSIC AQUARIUM","+ 91  8970544449",""
"Dr. Mohan Kumar","+ 91  80 23226087",""
"Varshas Aquazone","+ 91  9663616179",""
"HAPPY PAWS","+ 91  80 42200649",""
"Pet Kennels","+ 91  9980553381",""
"Happy Aqua","+ 91  9686298769",""
"Pet Choice Centre","+ 91  9632702777",""
"CANINE N FELINE","+ 91  9845499557",""
"Pets Villa","+ 91  8123238044",""
"New Bangalore Aquarium","+ 91  9342824446",""
"Fish Paradise","+ 91  7795036456",""
"AKSHAYA PET HOSPITAL","+ 91  80 23640488",""
"Pets And Ponds","+ 91  9341956141",""
"B.R PET ANIMAL & CLINIC","+ 91  9845357634",""
"Munasui Pet Clinic","+ 91  80 28485124",""
"GREMEE PET GROOMING ANG PET SHOP","+ 91  9620149555",""
"Pets Paradise","+ 91  9964533644",""
"Tara Clinic","+ 91  80 22227089",""
"Pets Park","+ 91  80 28653765",""
"Von Jagsburgs Kennels","+ 91  80 25540962",""
"Yash Kennels","+ 91  9742383518",""
"Woofs And Meows","+ 91  9036045468",""
"Paws N Claws Pet Care","+ 91  9035774954",""
"Dee JAY Kennels","+ 91  80 25302994",""
"dogmycats.com","+ 91  7259124665",""
"Blue Zone","",""
"C & T Pharma Petshoppe","+ 91  80 23230237",""
"Sadha Enterprises The Pets Villa","+ 91  80 25422979",""
"Bangalore Aquariums","+ 91  8088884559",""
"Harish Bird & Fish Aquarium Zone","+ 91  9036575751",""
"Pragathi Kennels","+ 91  80 26699415",""
"RMV Pet Zone","+ 91  8553510074",""
"i pets","+ 91  9845400888",""
"Akash Pet Grooming Center","+ 91  9880222953",""
"Aquation","+ 91  9845351931",""
"Harshitha Enterprises Pet Shop","+ 91  80 26761565",""
"Adhishakti Aquarium","+ 91  80 33059166",""
"Cauvery Fish Aquarium","+ 91  80 26544994",""
"Pet Shoppe","+ 91  9945740929",""
"Digitronics","+ 91  80 25586006",""
"Ocean beauty","+ 91  9986665768",""
"Angels Aquarium","+ 91  80 42194394",""
"Manish Pet Shop","+ 91  80 22374418",""
"Kavis PET MART","+ 91  80 23568030",""
"Glory Pets Shop","+ 91  80 65653245",""
"Kubra Fish Aquarium","+ 91  9886137859",""
"Pampered Pets","+ 91  80 40380555",""
"Woofs and Meows","+ 91  80 41691916",""
"GLASS WORLD","+ 91  80 57270077",""
"Sadha enterprises pet villa","+ 91  80 23461218",""
"Falak pets zone","+ 91  9379819925",""
"Arokhya Dass A","",""
"K9 Pets And Kennels","+ 91  80 33619729",""
"Sai Aquarium","+ 91  9620109036",""
"Amazon Fish World","+ 91  80 23230121",""
"Aqua gallery","+ 91  9738848878",""
"Pet Food Zone","+ 91  80 25465066",""
"S R S Pet Mart","+ 91  8880001976",""
"Evergreen Pet Shop","+ 91  9886060219",""
"Lorven pet shop","+ 91  80 23514886",""
"Sea World Aquarium","+ 91  80 23117284",""
"Pets Store","+ 91  80 42056571",""
"Golden Birds","+ 91  9242535309",""
"Fish Pond","+ 91  8147276406",""
"Shekar Veterinary Clinic","+ 91  9880886377",""
"Pet Care","+ 91  9845382692",""
"The Pets Kingdom","+ 91  8892406585",""
"A1 Faithful Pet Kennel","+ 91  9164646888",""
"Super Pets","+ 91  9844360757",""
"Zoroo Pet Shop","+ 91  9008188880",""
"NEHA VETERINARY CLINIC","+ 91  9844103321",""
"Windward Kennels Preeti Kennels","+ 91  9845441251",""
"Usha Aquarium","+ 91  7760123121",""
"Karthic Aquarium","+ 91  80 23102447",""
"Priyadarshini aquarium","+ 91  8147722737",""
"Sri Sai Pet Shop","+ 91  9845845858",""
"PetCart.com","+ 91  80 41148447",""
"Aqua & Pets World","+ 91  9379448094",""
"VARUNS PET SHOPPIE","+ 91  8861294443",""
"water magic","+ 91  9964500666",""
"Fish Fantacy","+ 91  9036068066",""
"New Look Aquarium","+ 91  9886783926",""
"Pets N Birds","+ 91  80 69901866",""
"Wet Pets","+ 91  80 56979707",""
"Aquarium Maintenance","+ 91  9738147088",""
"Pets Plaza","+ 91  8970971492",""
"Indus Pet World","+ 91  80 23561496",""
"Dogkart.In","+ 91  7607502222",""
"Ravis Craft Shop","+ 91  8025589780",""
"DogSpot.in","+ 91  9818809553",""
"Balaji Pet Shop","+ 91  9480464269",""
"Manish Pet Shop","+ 91  9916955395",""
"Ocean beauty International","+ 91  80 22866677",""
"Aquas World Aquarium","+ 91  9164967626",""
"Sea Angel Aquqrium & Pet Shop","+ 91  9901699292",""
"Pet Post","+ 91  80 23617135",""
"Rajan","",""
"SRM Enterprises (Sonu Pet Needs)","+ 91  9886721030",""
"D J Kennels","+ 91  9738076175",""
"Vishwa Pet Shop","+ 91  9341131814",""
"Pampered Pets","+ 91  80 40380569",""
"N K Kennels","+ 91  9916657988",""
"Boy Pet","+ 91  9986040047",""
"Sea birds aquarium","",""
"Zoo Land Aquarium","+ 91  9663786716",""
"Perfect Electrical Service","+ 91  9886936400",""
"Aditis Pet Shop And Kennel","+ 91  9845179699",""
"Angels Aquarium","+ 91  80 41306423",""
"SAMS AQUA","+ 91  8971434508",""
"Pet Star Aquarium","+ 91  9242922157",""
"Exotic Pets","+ 91  9035684399",""
"Aqua Pets","+ 91  80 26718145",""
"Blue Rottweiler Kennels","+ 91  9632777071",""
"Pets Duniya","+ 91  9739308055",""
"Unique Pet Shoppee","+ 91  9036045999",""
"Ganesh Pets N Aquarium","+ 91  9036336579",""
"Hayath Fish Aquarium","+ 91  9901058386",""
"Manjunatha Enterprises","+ 91  80 26759822",""
"Aquapet Planet","+ 91  9844552381",""
"Angel Pets & Aquarium","+ 91  8553776701",""
"The Pet House","+ 91  80 65336633",""
"Sagar pets","+ 91  80 33081775",""
"Ocean Blu Aquarium & Pets","+ 91  7760464511",""
"Bombayhouse Kennels","+ 91  9611195035",""
"Sunfins Aquarium","+ 91  9036994352",""
"Pet Worlds","+ 91  8951334831",""
"Zopp Shopping","+ 91  8880385858",""
"sai am kennels","+ 91  9880099973",""
"Your friend aquarium","+ 91  9916165865",""
"Aqua Paradise","+ 91  9535356562",""
"Kennel India","+ 91  9902181002",""
"Spiky Kennels","+ 91  9964387234",""
"Joes Veterinary Clinic","+ 91  9845297782",""
"Life Style Aquarium","+ 91  9845677961",""
"Pet World","+ 91  80 65704602",""
"Fancy aquarium","+ 91  9036279734",""
"one stop pet shop","+ 91  8088309385",""
"Pashupathi Pet House","+ 91  9742367927",""
"Simha Kennels","+ 91  9743255559",""
"Life Style Aquarium","+ 91  9738276569",""
"Friends Aquarium & Pets","+ 91  9738247713",""
"Fish World","+ 91  9341831120",""
"K9 Pets And Kennels","+ 91  9535418406",""
"Anvis Inc.","+ 91  80 23544279",""
"V Six Kennel","",""
"Royal Pet Care","+ 91  9141034762",""
"The aqua fish world","+ 91  9886445855",""
"The Pet Spa","+ 91  9901442518",""
"Praani Priya Kennels","+ 91  9945677579",""
"Subbus Kennel","+ 91  80 23472592",""
"Friends aquarium and pets","+ 91  9900623503",""
"International Aquarium","+ 91  9845178592",""
"Pet World (Closed down)","+ 91  8152010128",""
"Pet Choice Center","+ 91  9900656999",""
"Kellys Pet Shopee","+ 91  9538540561",""
"Dr. Prasanna Kumar Patil","+ 91  80 23435854",""
"RR Pet Clinic","+ 91  9902947213",""
"Sea Angel","+ 91  8792226915",""
"PETS KINGDOM","+ 91  9535341787",""
"Hansika Aqua Land","+ 91  9880909547",""
"Ibash Kennel","+ 91  9902077307",""
"B M Pet Care","+ 91  9611499507",""
"Ocean Wings","+ 91  9738151348",""
"Chetan Mahadev","+ 91  7829188000",""
"Blue Zoo Aquarium","+ 91  9845596319",""
"Loyal Paws","+ 91  9901919101",""
"Jayadev Pet Clinic & Shoppe","+ 91  9482231993",""
"CRAZY PETS","+ 91  9743031011",""
"Hangover","+ 91  9731726143",""
"M S Pet & Aquarium","+ 91  80 28543424",""
"Pets At Home","+ 91  8050877280",""
"Srinidhi Kennels","+ 91  80 42024349",""
"Rahul Breading Center","+ 91  9880923999",""
"D pets Gallery","+ 91  9900053232",""
"The Water World Aquarium","+ 91  9483715087",""
"Varshitha Enterprises","+ 91  8861211226",""
"TROPICAL FISH AQUARIUM","+ 91  8553419143",""
"G Friends Aquariums & Pet Shop","+ 91  9901852519",""
"Fish World","+ 91  9916344909",""
"Michael Birds","+ 91  9164494663",""
"Tanya Kennels","+ 91  9886378954",""
"Sandoz Kennel","+ 91  9141598524",""
"Om Shakthi Aquarium","+ 91  9740447842",""
"Pet World","+ 91  80 33530865",""
"Royal Selections","+ 91  9739795032",""
"Burhani Fancy Pigeons And Exotics","+ 91  80 33530938",""
"PET ME.IN","+ 91  9886241111",""
"Aqua Lounge N Pet Store","+ 91  9535317291",""
"KGN Acquarium & Pet Birds","+ 91  9342888543",""
"pet me.in","+ 91  9886181518",""
"Sanjay Nagar Pet Clinc","+ 91  7204925311",""
"K9 Kennals","+ 91  9986501708",""
"Anushree Pet Shop","+ 91  9141203077",""
"Aqua Pets","+ 91  9945061497",""
"SRI MARUTHI AQUERIUM","+ 91  9241869638",""
"Hussain","+ 91  9844402406",""
"Aabay Kennels","+ 91  9342835965",""
"Pets World","+ 91  8147386708",""
"Zaidane Pets","+ 91  9880531777",""
"MM 2 PAC","+ 91  9738006925",""
"Manish Pet Shop","+ 91  9916955395",""
"International Aquarium","+ 91  80 22861522",""
"A Janab & Sons","+ 91  80 25568745",""
"Sri Manjunatha Aquarium & Pets","+ 91  9066692936",""
"Labrador Puppies","+ 91  9866701529",""
"Royal Hobbies Pet Shop","+ 91  80 22448980",""
"Naaf Aqua Farm","+ 91  8939790619",""
"Fancy Birds Centre","",""
"INTERNATIONAL AQUARIUM","",""
"Zooland Aquarium & Pet Shop","+ 91  80 32941350",""
"Water World Aquarium","+ 91  8553786535",""
"Bombay Cafe","+ 91  80 22222991",""
"N. Lakshmipathaiah Setty And Sons","+ 91  9880372808",""
"Angels Aquarium","",""
"Aqua Mist Global","+ 91  9591890711",""
"Kamaraja aquarium","+ 91  9742131194",""
"E.S.S. Cycle Shop","+ 91  8022877013",""
"Shop No Fifty","+ 91  8022258502",""
"Thanisha pets","+ 91  8123339777",""
"Athirath Aquarium","+ 91  9632932207",""
"Danny Dane Kennals","+ 91  7411601552",""
"Sri Ganesh Aquarium","+ 91  9164619016",""
"Michel Birds","+ 91  7411686647",""
"Kalasa Aquarium","+ 91  9900474889",""
"Daniel Pet Shop","+ 91  9986628814",""
"Nemos World","+ 91  9880126666",""
"Baharath Aquarium","+ 91  80 25595541",""
"Bob Marley Pet World","+ 91  9060400712",""
"SDM Kennels","+ 91  80 41510517",""
"NIC-i","+ 91  8123457171",""
"M H International Aquatics & Pets","+ 91  8147597312",""
"CRAZY PETSHOP","+ 91  8147387835",""
"Htmsd Pet Shop","+ 91  80 41138607",""
"Select Aquarium","+ 91  9986212182",""
"Kids n Fishs stores","+ 91  9886116785",""
"EVERGREEN AQUARIUM & PETS","+ 91  9620073436",""
"Divya Aquarium","+ 91  9886913204",""
"Kings Way Kennals","+ 91  9886203012",""
"Pets & pro Solution","+ 91  9916605235",""
"Mypetbuddy Services Pvt Ltd","+ 91  9986773999",""
"Famous Mutton Stall","+ 91  80 26577420",""
"Manjunatha Aquarium","+ 91  9483391009",""
"Blood Line Breeders","+ 91  80 32432646",""
"petsbrothers","+ 91  9448044690",""
"Abdeckennel","+ 91  9902999991",""
"4m kennels","+ 91  9611110774",""
"Dreamland Aquarium","",""
"Kubra aquarium","+ 91  7411707995",""
"Pets Paradise","+ 91  9916444190",""
"Jay Sai Pet","+ 91  9744610290",""
"Pet Station","+ 91  9620790494",""
"Trinity Aquarium","+ 91  9448677571",""
"Petszone","+ 91  9845042740",""
"Loyal Pet Paws","+ 91  9663874715",""
"Maruthis The Pet Store","+ 91  9980945623",""
"Fish palace aquarium","+ 91  9972322227",""
"Anju Kennels","+ 91  9900389338",""
"Sri Manjunatha Aquariums","+ 91  9036541637",""
"Amba Bhavani Kennel","+ 91  9900607957",""
"Appu aquarium dealers","+ 91  8792295192",""
"A Aquarium & Petshop","+ 91  9986117566",""
"Pet world","+ 91  80 23567656",""
"Prince Aquarium","+ 91  9448254519",""
"Genius Fish Center","+ 91  9743501456",""
"Soldier Kennels","+ 91  9916785834",""
"Furiz Aqua & pet shop","+ 91  80 42103028",""
"Prashanth Pharma","+ 91  9845247792",""
"Glenands","+ 91  80 51261470",""
"Morocco Kennals","+ 91  9071000083",""
"S.M.S Aquarium","+ 91  9036025116",""
"Family pets","+ 91  9900460010",""
"Paramount Kennels","+ 91  80 23335807",""
"Silver Plaza","+ 91  9731266007",""
"Aster Kennels","+ 91  9986666316",""
"Barksnlicks","+ 91  9986826782",""
"LISHA PET ZONE","+ 91  9880577819",""
"Dr. Mohd Zakallah","+ 91  80 26567732",""
"Dr. S.R. Lokeshwara Reddy","+ 91  80 27823325",""
"Aquarium Point","+ 91  9902946442",""
"Sri Manjunatha Aquarium","+ 91  7829403443",""
"Fish world","+ 91  9483504881",""
"AQUARIUM HOUSE AND BIRDS","+ 91  9886578697",""
"Akshya Aqua World","+ 91  9740039304",""
"KS7 Kennels","+ 91  9620484757",""
"Blue reef aquarium","+ 91  9035672498",""
"Sanjitha Aquariums","+ 91  9901022287",""
"Pebbles N Me","+ 91  9611636222",""
"Pet Land","+ 91  9886936400",""
"Angels aquarium","+ 91  9483098486",""
"Angles Aquarium","+ 91  9663083265",""
"Mahendra Pets","+ 91  9986662121",""
"A M FISH N FUN","+ 91  9060087187",""
"Udaya Kennel","+ 91  9343774568",""
"Sri Ganesh Aqaurium","+ 91  9036152366",""
"Classic Birds","+ 91  7899404076",""
"M D aquarium","+ 91  8747915087",""
"Happy Pets","+ 91  9480739827",""
"Ahmeds Pet World","+ 91  9019011919",""
"Monisha Aquarium","",""
"Vicky","",""
"Your Friends Aquarium","+ 91  9986824186",""
"Herriots Vet Polyclinic","+ 91  8025530197",""
"Pet Star Aquarium","+ 91  9242922157",""
"Kiran kenals","+ 91  9916000083",""
"Pet World","+ 91  9620012585",""
"Saagar Birds & Aquarium","+ 91  9886735431",""
"Aquarium House & Birds","+ 91  9663491949",""
