"Name","Phone","Address"

"Preeti","+ 91  80 33092778",""
"Abrars Real Estates","+ 91  8971196910",""
"Propertyz Store","+ 91  80 33532891",""
"V K Properties","+ 91  80 33013460",""
"Slr Classique","+ 91  80 33532296",""
"Raos Real Estate","+ 91  80 33724345",""
"Propertyz Store","+ 91  7204019822",""
"Square Feet Realtors","+ 91  80 33090004",""
"S2 Milkyway Links","+ 91  80 33052362",""
"Vigro Estates","+ 91  80 33641411",""
"Sri Chowdeshwari Enterprises","+ 91  80 39200165",""
"Real Fin","+ 91  80 33090753",""
"Ap Real Estates","+ 91  80 33531189",""
"Sri Sai Real Estate","+ 91  80 33762444",""
"Raj Real Estate","+ 91  80 33618934",""
"Town Enterprises","+ 91  80 33531592",""
"S K Real Estate","+ 91  80 33057743",""
"Sai Developers And Realtors","+ 91  80 39629317",""
"The Realtors","+ 91  80 33518667",""
"New National Real Estate","+ 91  80 33100601",""
"Vasundhara Properties","+ 91  80 33619948",""
"MB Real Estate","+ 91  80 39257550",""
"Mamakar Properties","+ 91  80 33080137",""
"Isiri Real Estate","+ 91  80 33530850",""
"Sri Sai Real Estate","+ 91  80 33092137",""
"Shree Shridi Sai Enterprises","+ 91  80 33642449",""
"Ekadanta Real Estate","+ 91  80 33091080",""
"Sri Sai Enterprises","+ 91  80 39559366",""
"Top Prithvi Real Estate","+ 91  80 33562485",""
"CBR Enterprises","+ 91  80 33763075",""
"Chinnaa Enterprises","+ 91  80 33538178",""
"Anand S Savanth","+ 91  80 33569474",""
"Sagar Real Estate Agency","+ 91  80 33762744",""
"Marquee Properties","+ 91  80 33618766",""
"MNG Real Estate And Infotech","+ 91  80 33568815",""
"Sri Lakshmi Venkateshwara R...","+ 91  80 33055365",""
"Akash Associates","+ 91  80 33641938",""
"Slv Real Estates","+ 91  80 30805665",""
"Hitesh Estates","+ 91  80 33082551",""
"Rms Housing","+ 91  80 33080481",""
"Naveen Enterprises","+ 91  9845391246",""
"Shree Vinayaka Real Estate","+ 91  80 33050359",""
"Step Inn Real Estate","+ 91  80 33058878",""
"Nagendra Prasad","+ 91  80 33618576",""
"Krishnaapa Real Estate","+ 91  80 33292341",""
"Harsha Real Estates","+ 91  80 33537077",""
"SRI CHOWDESHWARI REAL ESTATE","+ 91  80 33531666",""
"Prajwal Enterprises","+ 91  80 28435535",""
"Sobhitha Properties","+ 91  80 33532073",""
"Adithya Group","+ 91  80 33568268",""
"Sufyan Real Estate","+ 91  80 33674788",""
"M J Infrastructure","+ 91  80 33643264",""
"Belaku Developer","+ 91  80 33569064",""
"Tarun Associates","+ 91  80 33539825",""
"Sunrise Properties","+ 91  80 33531389",""
"Abhay Homes","+ 91  80 33058177",""
"Adithya Properties","+ 91  80 33055341",""
"Vishu Enterprises","+ 91  80 33724240",""
