"Name","Phone","Address"

"Novelty Hyundai","+ 91  183 2702725",""
"Nexa","+ 91  9815007473",""
"Jay Cee Motors","+ 91  183 2581334",""
"Swani Motors Ltd","+ 91  183 5030401",""
"Castle Toyota","+ 91  183 3067310",""
"Rishabh Fourwheels Pvt Ltd","+ 91  183 2263758",""
"Universal Motors","+ 91  183 5065037",""
"Kosmo Hyundai","+ 91  183 2263469",""
"Deep Honda","+ 91  183 6999993",""
"Prabhat Motors","+ 91  9216303134",""
"Baba Autos","+ 91  183 2111103",""
"Novelty Hyundai","+ 91  183 2702721",""
"S V Chevrolet","+ 91  8288018661",""
"Wavess Cars Private Limited","+ 91  183 6555550",""
"Cargo Motors Pvt Ltd","+ 91  183 5082051",""
"Kapoor Motors( Mitsubishi Motors)","+ 91  183 2700009",""
"Trehan Motors","+ 91  9988308000",""
"Automobile Kapoors Bye Pas Maj...","+ 91  9779999029",""
"Arman Car Point & Property Dealer","+ 91  9915822958",""
"R S Motors","+ 91  183 5062682",""
"Sant Baba Kashmir Singh","",""
"Vinod Kumar","+ 91  9988381063",""
"Mahajan motors","+ 91  9888997922",""
"Bhatti Motors","+ 91  9417260220",""
"Malhotra Motors & Properties","+ 91  183 5063977",""
"Dashmesh Car Bazar","+ 91  9872097718",""
"Nitish Kumar","+ 91  8437962316",""
"united surgical equipment","+ 91  8800426920",""
"Bhatti Motors","+ 91  9417162061",""
"SHIV SHAKTI CAR BAZAR","+ 91  9888534999",""
"Satya Capitals","+ 91  9814711700",""
"Gill Motors","+ 91  183 6531059",""
"Bedi Automobiles","+ 91  9876039138",""
"Dashmesh Property Advisors","+ 91  183 5000001",""
"Pankaj Sharma","+ 91  9646963434",""
"FRIENDS MOTORS","+ 91  9888427787",""
"Ranjit Avenue","+ 91  183 2502453",""
"P S MOTORS","+ 91  9463323590",""
"Auto Kapoor","",""
"sdfkjdshf","+ 91  9882255008",""
"KHERA MOTORS","+ 91  8427334716",""
